label,tahun,kode,Prov,V1,V2,G1,Panen,Tidak diusahakan,Puso,Total amatan,Produksi PADI
training set,2018,11,ACEH,9511,7831,9098,20499,10732,507,59788,1861567.1
training set,2018,12,SUMATERA UTARA,15415,10056,11130,19815,12630,564,76267,2108284.72
training set,2018,13,SUMATERA BARAT,9158,6540,7547,10141,5146,233,40319,1483076.48
training set,2018,14,RIAU,3018,1752,1768,6608,2886,360,17695,266375.53
training set,2018,15,JAMBI,3250,1859,1969,8244,2248,240,19573,383045.74
training set,2018,16,SUMATERA SELATAN,12790,7130,8896,27816,12341,738,73623,2994191.84
training set,2018,17,BENGKULU,3157,1964,2236,6072,2485,99,17078,288810.52
training set,2018,18,LAMPUNG,9958,5767,7747,16970,7712,596,51184,2488641.91
training set,2018,19,KEP. BANGKA BELITUNG,408,305,221,813,657,208,2955,45724.69
training set,2018,21,KEP. RIAU,187,82,74,246,275,39,1156,1097
training set,2018,31,DKI JAKARTA,112,61,61,75,97,26,501,4899.14
training set,2018,32,JAWA BARAT,30735,22035,29411,53955,20284,1322,161874,9647358.75
training set,2018,33,JAWA TENGAH,29304,19250,30715,42490,17922,1195,143351,10499588.23
training set,2018,34,DI YOGYAKARTA,2679,1519,2325,2829,1422,123,11973,514935.49
training set,2018,35,JAWA TIMUR,31807,25590,34585,37175,14754,1679,151079,10203213.17
training set,2018,36,BANTEN,4915,3460,4804,13293,4631,533,31985,1687783.3
training set,2018,51,BALI,2648,1869,2449,3634,1817,36,12893,667069.06
training set,2018,52,NUSA TENGGARA BARAT,5963,4194,5830,8990,1895,817,28686,1460338.81
training set,2018,53,NUSA TENGGARA TIMUR,5687,3658,3745,19798,3702,738,40360,899935.88
training set,2018,61,KALIMANTAN BARAT,8267,4784,4292,12056,6044,372,40923,799715.21
training set,2018,62,KALIMANTAN TENGAH,5153,2117,2166,5752,4524,302,22532,514769.05
training set,2018,63,KALIMANTAN SELATAN,8322,5211,4996,22191,11896,464,55594,1327492.41
training set,2018,64,KALIMANTAN TIMUR,2177,1048,1278,3456,2136,198,11119,262773.88
training set,2018,65,KALIMANTAN UTARA,657,425,531,2066,584,52,4870,45063.53
training set,2018,71,SULAWESI UTARA,3167,1916,2107,3105,2198,117,14167,326929.74
training set,2018,72,SULAWESI TENGAH,6391,4346,5178,11089,4601,208,33646,926978.66
training set,2018,73,SULAWESI SELATAN,20141,13286,13917,42567,11351,1301,104327,5952616.45
training set,2018,74,SULAWESI TENGGARA,5359,3103,3930,7285,4373,386,25565,538876.14
training set,2018,75,GORONTALO,1977,968,1684,2438,1414,52,8903,269540.4
training set,2018,76,SULAWESI BARAT,1958,1295,1546,3651,1496,106,10707,316478.37
training set,2018,81,MALUKU,571,261,383,975,245,53,3110,116228.86
training set,2018,82,MALUKU UTARA,520,350,284,648,514,53,3562,49047.11
training set,2018,91,PAPUA BARAT,426,142,261,538,351,97,1970,24967.13
training set,2018,94,PAPUA,1036,484,703,871,2705,54,6589,223119.42
training set,2019,11,ACEH,9691,8155,8680,28222,13185,541,68658,1714437.6
training set,2019,12,SUMATERA UTARA,16622,12306,14594,26308,15184,269,85624,2078901.59
training set,2019,13,SUMATERA BARAT,9515,6955,9415,13833,6254,368,46398,1482996.01
training set,2019,14,RIAU,3079,1888,1871,9092,3622,829,20413,230873.97
training set,2019,15,JAMBI,3158,2002,2275,10790,2762,784,21889,309932.68
training set,2019,16,SUMATERA SELATAN,12595,7356,9301,37414,14703,1529,83006,2603396.24
training set,2019,17,BENGKULU,2010,1724,2590,9549,2219,264,18408,296472.07
training set,2019,18,LAMPUNG,8947,6202,9177,23850,7625,2173,58021,2164089.33
training set,2019,19,KEP. BANGKA BELITUNG,437,263,263,1059,1021,500,3543,48805.68
training set,2019,21,KEP. RIAU,152,73,73,313,368,140,1135,1150.8
training set,2019,31,DKI JAKARTA,114,64,72,104,89,22,469,3359.31
training set,2019,32,JAWA BARAT,34473,24946,33215,76110,19816,6968,195580,9084957.22
training set,2019,33,JAWA TENGAH,32086,22451,31093,57400,17530,4657,165264,9655653.98
training set,2019,34,DI YOGYAKARTA,2978,2156,2499,4103,1597,549,13882,533477.4
training set,2019,35,JAWA TIMUR,37169,29259,37556,57316,14797,2969,179252,9580933.88
training set,2019,36,BANTEN,5400,3732,5566,18249,4538,1697,39431,1470503.35
training set,2019,51,BALI,2316,1865,2857,4272,1791,111,13212,579320.53
training set,2019,52,NUSA TENGGARA BARAT,5540,3726,5922,11368,1398,498,28470,1402182.39
training set,2019,53,NUSA TENGGARA TIMUR,4567,3854,5563,22889,4374,1253,42564,811724.18
training set,2019,61,KALIMANTAN BARAT,8105,5460,4658,18082,7842,509,44777,847875.13
training set,2019,62,KALIMANTAN TENGAH,5217,2547,2880,10480,5582,594,27333,443561.33
training set,2019,63,KALIMANTAN SELATAN,10572,7104,7657,32322,10419,932,69112,1342861.82
training set,2019,64,KALIMANTAN TIMUR,2401,1368,1317,4284,3034,511,12941,253818.37
training set,2019,65,KALIMANTAN UTARA,713,465,414,2117,713,155,4596,33357.19
training set,2019,71,SULAWESI UTARA,3027,2128,2314,4850,2657,174,15214,277776.31
training set,2019,72,SULAWESI TENGAH,6418,4295,5983,13976,5232,471,36432,844904.3
training set,2019,73,SULAWESI SELATAN,19446,15394,20417,54544,13661,4907,128536,5054166.96
training set,2019,74,SULAWESI TENGGARA,5264,3961,5116,9329,4098,840,28624,519706.93
training set,2019,75,GORONTALO,1835,1331,1401,4061,1296,300,10226,231211.11
training set,2019,76,SULAWESI BARAT,1608,1348,1502,4357,1950,199,10964,300142.22
training set,2019,81,MALUKU,530,312,487,1304,405,58,3247,98254.75
training set,2019,82,MALUKU UTARA,529,351,420,840,597,94,2831,37945.64
training set,2019,91,PAPUA BARAT,348,185,312,770,425,96,2138,29943.56
training set,2019,94,PAPUA,1163,467,905,1326,2565,72,6542,235339.51
uji,2020,11,ACEH,10929,10125,12166,25191,13765,1018,73264,1757313.07
uji,2020,12,SUMATERA UTARA,17531,14052,17478,24989,15569,550,90290,2040500.19
uji,2020,13,SUMATERA BARAT,10944,8559,10490,13267,6199,441,49907,1387269.29
uji,2020,14,RIAU,3053,2368,2726,8990,3357,860,21354,243685.04
uji,2020,15,JAMBI,4276,3500,3691,11091,3532,926,27078,386413.49
uji,2020,16,SUMATERA SELATAN,16995,11403,12913,35500,15487,1730,94089,2743059.68
uji,2020,17,BENGKULU,3233,2335,2885,6982,3100,188,18731,292834.04
uji,2020,18,LAMPUNG,13354,7762,9456,20223,10908,441,62175,2650289.64
uji,2020,19,KEP. BANGKA BELITUNG,585,475,349,1031,948,621,4009,57324.32
uji,2020,21,KEP. RIAU,186,127,130,231,454,69,1202,852.54
uji,2020,31,DKI JAKARTA,132,74,69,100,114,16,505,4543.93
uji,2020,32,JAWA BARAT,49017,30576,33329,51048,28246,1836,194093,9016772.58
uji,2020,33,JAWA TENGAH,43615,29556,31059,37344,21954,1317,164845,9489164.62
uji,2020,34,DI YOGYAKARTA,3945,3145,2830,3256,1617,148,14944,523395.95
uji,2020,35,JAWA TIMUR,57578,38627,39680,51415,21979,1265,210766,9944538.26
uji,2020,36,BANTEN,9216,5863,5875,12350,6725,454,40635,1655170.09
uji,2020,51,BALI,3084,2105,2738,3418,2203,128,13677,532168.45
uji,2020,52,NUSA TENGGARA BARAT,7628,4159,4940,9518,2769,520,29567,1317189.81
uji,2020,53,NUSA TENGGARA TIMUR,5647,3487,4233,22992,5274,2039,43722,725024.3
uji,2020,61,KALIMANTAN BARAT,7813,6073,6438,17848,6350,475,45048,778170.36
uji,2020,62,KALIMANTAN TENGAH,5434,3277,3112,9175,5592,395,26997,457952
uji,2020,63,KALIMANTAN SELATAN,14478,9484,9808,37115,15007,779,86679,1150306.66
uji,2020,64,KALIMANTAN TIMUR,3243,2236,2190,4067,2867,348,14972,262434.52
uji,2020,65,KALIMANTAN UTARA,799,689,588,1766,589,82,4555,33574.28
uji,2020,71,SULAWESI UTARA,3356,2257,2557,4150,2813,66,15245,248879.48
uji,2020,72,SULAWESI TENGAH,7647,5448,6569,13306,6450,406,39868,792248.84
uji,2020,73,SULAWESI SELATAN,26669,19965,24231,47394,19727,2247,140312,4708464.97
uji,2020,74,SULAWESI TENGGARA,6104,4170,5479,9734,5253,734,31490,532773.49
uji,2020,75,GORONTALO,2118,1642,1996,2559,1458,254,10214,227627.2
uji,2020,76,SULAWESI BARAT,2115,1654,1971,3359,2255,140,11502,345050.37
uji,2020,81,MALUKU,684,432,530,1029,537,65,3360,110447.3
uji,2020,82,MALUKU UTARA,478,410,444,752,614,85,2783,43382.85
uji,2020,91,PAPUA BARAT,282,225,293,664,524,111,2105,24378.33
uji,2020,94,PAPUA,1355,638,890,1122,2189,107,6316,166002.3
